#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
1.00E+00 2.38E+00 485 6.48E-02 4.28E-02 4.60E-02
1.00E+00 2.41E+00 494 6.47E-02 4.58E-02 4.89E-02
1.00E+00 2.43E+00 480 6.55E-02 4.70E-02 5.03E-02
1.00E+00 2.46E+00 391 6.72E-02 4.52E-02 5.25E-02
1.00E+00 2.48E+00 349 6.83E-02 4.91E-02 5.28E-02
1.00E+00 2.51E+00 270 7.26E-02 4.62E-02 5.67E-02
1.00E+00 2.53E+00 240 7.18E-02 5.05E-02 5.36E-02
1.00E+00 2.55E+00 261 7.38E-02 5.17E-02 5.73E-02
1.00E+00 2.58E+00 265 7.21E-02 5.59E-02 5.41E-02
1.00E+00 2.60E+00 323 7.21E-02 5.15E-02 5.78E-02
1.00E+00 2.63E+00 348 7.34E-02 5.02E-02 5.64E-02
1.00E+00 2.65E+00 384 7.54E-02 5.00E-02 5.61E-02
1.00E+00 2.68E+00 521 7.56E-02 4.90E-02 5.93E-02
1.00E+00 2.70E+00 570 8.35E-02 5.30E-02 6.02E-02
1.00E+00 2.73E+00 576 8.25E-02 5.09E-02 6.03E-02
1.00E+00 2.75E+00 630 8.38E-02 5.34E-02 6.46E-02
1.00E+00 2.77E+00 671 9.78E-02 5.42E-02 6.29E-02
1.00E+00 2.80E+00 614 1.01E-01 5.22E-02 6.55E-02
1.00E+00 2.82E+00 597 1.03E-01 5.07E-02 6.35E-02
1.00E+00 2.85E+00 570 1.06E-01 4.73E-02 6.29E-02
1.00E+00 2.87E+00 445 1.17E-01 4.73E-02 6.41E-02
1.00E+00 2.90E+00 340 1.10E-01 3.69E-02 6.29E-02
1.00E+00 2.92E+00 155 1.61E-01 3.09E-02 6.10E-02
1.00E+00 2.95E+00 254 1.16E-01 1.54E-02 3.85E-02
1.00E+00 2.96E+00 100 9.38E-02 9.22E-03 3.49E-02


#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
2.02E+00 2.12E-02 25 2.20E-02 1.46E-02 1.49E-02
2.02E+00 3.73E-02 230 3.41E-02 1.46E-02 3.04E-02
2.02E+00 6.16E-02 209 6.37E-02 2.11E-02 4.28E-02
2.02E+00 8.61E-02 232 6.35E-02 2.42E-02 4.97E-02
2.02E+00 1.10E-01 242 6.75E-02 2.89E-02 5.37E-02
2.02E+00 1.34E-01 231 7.80E-02 3.32E-02 5.24E-02
2.02E+00 1.59E-01 227 8.50E-02 3.35E-02 5.96E-02
2.02E+00 1.83E-01 205 8.45E-02 3.77E-02 5.55E-02
2.02E+00 2.08E-01 242 8.11E-02 4.08E-02 5.38E-02
2.02E+00 2.32E-01 238 7.90E-02 4.33E-02 5.71E-02
2.02E+00 2.57E-01 219 8.54E-02 4.65E-02 6.17E-02
2.02E+00 2.80E-01 226 8.17E-02 4.76E-02 5.94E-02
2.02E+00 3.06E-01 244 8.32E-02 4.73E-02 5.45E-02
2.02E+00 3.30E-01 224 7.51E-02 4.96E-02 5.98E-02
2.02E+00 3.55E-01 214 7.73E-02 4.51E-02 5.74E-02
2.02E+00 3.79E-01 240 7.89E-02 4.80E-02 6.72E-02
2.02E+00 4.03E-01 211 7.34E-02 5.69E-02 6.66E-02
2.02E+00 4.28E-01 249 8.22E-02 5.56E-02 5.82E-02
2.02E+00 4.53E-01 253 8.58E-02 6.09E-02 6.48E-02
2.02E+00 4.77E-01 221 8.18E-02 6.31E-02 6.56E-02
2.02E+00 5.02E-01 226 8.82E-02 7.04E-02 6.64E-02
2.02E+00 5.26E-01 182 9.08E-02 7.25E-02 7.02E-02
2.02E+00 5.51E-01 238 8.87E-02 7.81E-02 7.18E-02
2.02E+00 5.74E-01 213 9.27E-02 7.47E-02 8.24E-02
2.02E+00 6.00E-01 206 8.77E-02 8.64E-02 7.87E-02
2.02E+00 6.22E-01 192 8.53E-02 8.70E-02 7.62E-02
2.02E+00 6.48E-01 194 9.85E-02 7.85E-02 8.27E-02
2.02E+00 6.73E-01 196 1.18E-01 9.40E-02 9.76E-02
2.02E+00 6.97E-01 244 1.03E-01 1.02E-01 9.77E-02
2.02E+00 7.21E-01 214 1.11E-01 9.16E-02 1.01E-01
2.02E+00 7.46E-01 197 1.08E-01 9.61E-02 9.69E-02
2.02E+00 7.70E-01 211 1.31E-01 1.03E-01 1.00E-01
2.02E+00 7.95E-01 221 1.41E-01 1.15E-01 1.17E-01
2.02E+00 8.18E-01 206 1.33E-01 1.10E-01 1.18E-01
2.02E+00 8.44E-01 186 1.49E-01 1.16E-01 1.22E-01
2.02E+00 8.68E-01 225 1.44E-01 1.10E-01 1.32E-01
2.02E+00 8.93E-01 243 1.64E-01 1.33E-01 1.38E-01
2.02E+00 9.17E-01 194 1.81E-01 1.24E-01 1.41E-01
2.02E+00 9.43E-01 204 1.64E-01 1.20E-01 1.29E-01
2.02E+00 9.66E-01 206 1.71E-01 1.12E-01 1.37E-01
2.02E+00 9.91E-01 210 1.75E-01 1.22E-01 1.34E-01
2.02E+00 1.01E+00 225 1.72E-01 1.22E-01 1.28E-01
2.02E+00 1.04E+00 200 1.77E-01 1.21E-01 1.37E-01
2.02E+00 1.06E+00 240 1.72E-01 1.11E-01 1.32E-01
2.02E+00 1.09E+00 295 1.52E-01 1.00E-01 1.24E-01
2.02E+00 1.11E+00 269 1.59E-01 9.74E-02 1.09E-01
2.02E+00 1.14E+00 328 1.44E-01 9.44E-02 1.09E-01
2.02E+00 1.16E+00 336 1.38E-01 9.19E-02 9.32E-02
2.02E+00 1.19E+00 329 1.22E-01 8.35E-02 8.90E-02
2.02E+00 1.21E+00 376 1.17E-01 7.17E-02 8.45E-02
2.02E+00 1.23E+00 440 1.14E-01 7.22E-02 8.18E-02
2.02E+00 1.26E+00 439 1.04E-01 6.66E-02 7.67E-02
2.02E+00 1.28E+00 439 8.86E-02 6.34E-02 6.78E-02
2.02E+00 1.31E+00 545 8.76E-02 6.13E-02 7.12E-02
2.02E+00 1.33E+00 506 8.80E-02 5.65E-02 6.67E-02
2.02E+00 1.36E+00 526 8.03E-02 5.85E-02 5.52E-02
2.02E+00 1.38E+00 524 7.86E-02 5.56E-02 6.09E-02
2.02E+00 1.41E+00 494 7.39E-02 4.85E-02 5.70E-02
2.02E+00 1.43E+00 533 7.36E-02 4.61E-02 5.52E-02
2.02E+00 1.46E+00 542 6.75E-02 4.71E-02 5.31E-02
2.02E+00 1.48E+00 525 6.71E-02 5.08E-02 5.24E-02
2.02E+00 1.50E+00 563 6.07E-02 4.83E-02 4.93E-02
2.02E+00 1.53E+00 566 6.77E-02 4.49E-02 5.07E-02
2.02E+00 1.55E+00 562 6.35E-02 4.56E-02 4.39E-02
2.02E+00 1.58E+00 580 6.05E-02 4.54E-02 4.73E-02
2.02E+00 1.60E+00 604 5.81E-02 4.15E-02 4.65E-02
2.02E+00 1.63E+00 581 6.01E-02 4.25E-02 4.45E-02
2.02E+00 1.65E+00 604 5.52E-02 4.25E-02 4.38E-02
2.02E+00 1.67E+00 586 5.60E-02 3.92E-02 4.20E-02
